id,match_id,content,bowler,batsman,over,ball
98230000000,128748,"OUT! IN THE AIR AND GONE! All over for England! India break the Edgbaston hoodoo as they register their first Test win at this venue. On a nagging length, on off, Brydon Carse clears his front leg and has a swing at it. Skies it up towards cover where Shubman Gill settles under it and catches it around his waist. 10 WICKETS in the game for Akash Deep! India win by 336 runs and draw level in the series!<br><b>Brydon Carse c S Gill b A Deep 38 (48b 5x4 1x6)</b>",Akash Deep,Brydon Carse,68,1
98210000000,128748,"Short and on off, Bashir makes room and chops it down towards backward point.",Ravindra Jadeja,Shoaib Bashir,67,6
98170000000,128748,"Beaten! Slower through the air, fuller and outside off, Shoaib Bashir gets down for the slog sweep but fails to connect.",Ravindra Jadeja,Shoaib Bashir,67,5
98150000000,128748,"Pitched way outside leg, and much slower through the air. It lands and spins sharply into the batter to hit the splice of the bat as Bashir leans ahead to defend.",Ravindra Jadeja,Shoaib Bashir,67,4
98120000000,128748,"Much slower and the length is pulled back, on middle, Shoaib Bashir lunges and is beaten on the inside edge.",Ravindra Jadeja,Shoaib Bashir,67,3
98110000000,128748,"Fuller and around leg, Bashir defends it off the front foot.",Ravindra Jadeja,Shoaib Bashir,67,2
98060000000,128748,"Just over the stumps! Turning away, landing around leg. Bashir backs away to defend. Spins past the bat and goes over the off stump.",Ravindra Jadeja,Shoaib Bashir,67,1
98030000000,128748,Spots Carse backing away and Akash bowls it well away from the batter's reach on the off side. Brydon Carse cannot reach and lets it go.,Akash Deep,Brydon Carse,66,6
98010000000,128748,"Slanting into the right-hander, on a back of a length, Carse has a swipe across the line but fails to lay any bat on it. Gets hit near the box.",Akash Deep,Brydon Carse,66,5
97990000000,128748,"NO BALL AND FOUR! On a nagging length, outside off, Brydon Carse swings for the hills as he looks to park it down the ground. Gets an outside edge that flies over the slip cordon for a boundary. Deep has overstepped.",Akash Deep,Brydon Carse,66,5
97940000000,128748,"On a length, on the pads, tickled down to deep fine leg for a single but no run taken.",Akash Deep,Brydon Carse,66,4
97910000000,128748,FOUR! Gets it away this time! Deep does well to follow the batter with a slower short ball. Brydon Carse is early into the shot again and one hand comes off the bat but gets a good enough connection this time. Hits it to the left of deep square leg for a boundary.,Akash Deep,Brydon Carse,66,3
97890000000,128748,"Another slower delivery but this is bowled into the wicket, over middle, Brydon Carse is early into the shot and ends up dragging it off the inner half to deep fine leg but does not take the single.",Akash Deep,Brydon Carse,66,2
97850000000,128748,"Pace taken off by Deep, full and wide on off, Brydon Carse defends it out.",Akash Deep,Brydon Carse,66,1
97820000000,128748,"Full and around leg, blocked out by Shoaib Bashir.",Ravindra Jadeja,Shoaib Bashir,65,6
